time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate
70,81.69,19456,1.0896999999999997,274,38,-1.285428998619318,0.019982447201618923,0.1853515625,-0.027928948402404785,-0.03321395355742425,370,0.325847327709198,0.2,0.015316263,0.0003
72,80.62,19968,1.1276999999999997,275,39,-1.408853580057621,0.028955383109860122,0.1412109375,-0.058094609528779984,-0.04077834793133661,380,0.5217128396034241,0.2,0.014349616,0.0003
74,83.23,20480,1.0605999999999995,274,40,-1.3660840541124344,0.01730912982602604,0.1814453125,-0.036751724779605865,-0.04026293646311387,390,0.8063763976097107,0.2,0.020195939,0.0003
76,80.32,20992,1.0292999999999997,275,41,-1.1972918085753919,0.026717368577374147,0.178125,-0.08043552190065384,-0.04504395730327815,400,0.5956940054893494,0.2,0.020374164,0.0003
78,82.45,21504,1.0473999999999997,275,42,-1.3773459166288375,0.04500953652895987,0.1595703125,-0.06181713193655014,-0.037008165859151634,410,0.6419695615768433,0.2,0.017218716,0.0003
80,83.36,22016,1.0452999999999997,275,43,-1.3232413955032825,0.0590404755086638,0.175,-0.07225121557712555,-0.04730031290091574,420,0.03321152925491333,0.2,0.01676317,0.0003
81,79.19,22528,1.1720999999999995,275,44,-1.4692401185631752,0.042882893118076026,0.2201171875,-0.03320402652025223,-0.04353280656505376,430,-0.41174745559692383,0.2,0.022108074,0.0003
83,78.0,23040,1.1444999999999996,275,45,-1.5247596502304077,0.03559127926127985,0.1783203125,-0.08133283257484436,-0.04880311347078532,440,-0.05567920207977295,0.2,0.021596702,0.0003
85,78.93,23552,1.0048999999999997,276,46,-1.425124926865101,0.029045627865707503,0.18203125,-0.06738121807575226,-0.050372995424550024,450,0.40402257442474365,0.2,0.017912824,0.0003
87,81.19,24064,0.9655999999999999,275,47,-1.2808914229273796,0.04838843180332333,0.134375,-0.05308475345373154,-0.032205643714405596,460,0.6588559150695801,0.2,0.014633776,0.0003
89,81.6,24576,0.9409999999999995,276,48,-1.332478877902031,0.04512157995486632,0.1931640625,-0.05769937485456467,-0.045961909694597125,470,0.17230671644210815,0.2,0.017341789,0.0003
90,81.66,25088,0.8994999999999997,276,49,-1.411560559272766,0.028348780068336056,0.1888671875,-0.059024468064308167,-0.046005774824880066,480,0.5000637769699097,0.2,0.018677393,0.0003
92,83.09,25600,0.8680999999999999,276,50,-1.3000175639986993,0.04011745617026463,0.1814453125,-0.06695953756570816,-0.044359200226608664,490,0.5810002088546753,0.2,0.019092007,0.0003
94,80.42,26112,0.9104999999999999,276,51,-1.2611476458609103,0.045525862218346445,0.1734375,-0.043580085039138794,-0.04341228171251714,500,0.5829724669456482,0.2,0.01738761,0.0003
96,79.47,26624,0.8698999999999998,276,52,-1.300745666027069,0.027888884401181712,0.16640625,-0.0585930198431015,-0.04057686164742336,510,0.5929019451141357,0.2,0.015041469,0.0003
98,82.24,27136,0.6947999999999999,276,53,-1.2162012048065662,0.02780199310509488,0.1978515625,-0.0691029503941536,-0.04846114222891629,520,0.7722244262695312,0.2,0.021877937,0.0003
100,85.1,27648,0.6529999999999998,276,54,-1.1114137522876262,0.07018126705661416,0.113671875,-0.03304708003997803,-0.03007182003930211,530,0.5615441799163818,0.2,0.013153551,0.0003
101,86.04,28160,0.6599999999999997,276,55,-1.3014143578708173,0.03877274616388604,0.1720703125,-0.05322642624378204,-0.04478823847603053,540,0.4029940366744995,0.2,0.02053598,0.0003
103,87.58,28672,0.6549999999999998,276,56,-1.160235595703125,0.04428059533238411,0.17578125,-0.0523221530020237,-0.03763820078456774,550,0.2809079885482788,0.2,0.019661779,0.0003
105,84.85,29184,0.7579999999999997,276,57,-1.3219403743743896,0.01942380326217972,0.208203125,-0.05436191335320473,-0.04768670757766813,560,0.7680330872535706,0.2,0.019898737,0.0003
