#{"t_start": 1781910846.894009, "env_id": "None"}
r,l,t
1.11,141,104.27527
1.88,38,104.372639
1.88,42,104.479933
1.88,23,104.53744
1.88,59,104.690776
-1.21,102,104.986349
-1.69,146,105.471933
-3.5,104,106.21348
1.88,47,106.319161
1.88,51,106.443923
1.88,27,106.506707
1.88,38,106.596952
-0.0,136,106.941541
1.88,28,107.0345
1.88,23,107.110534
1.88,30,107.193727
-1.96,129,108.01259
1.88,39,108.118679
1.88,24,108.17803
1.33,155,108.55833
-1.85,144,108.886232
1.88,18,108.92726
1.88,126,109.734485
-1.92,99,109.979658
-3.44,47,110.100268
1.88,35,110.195069
-2.6,112,110.504755
-2.03,133,110.853045
1.12,135,111.797612
1.87,154,112.278153
-1.53,122,112.667806
1.88,23,112.736261
1.88,80,112.955112
1.5,157,113.841221
1.88,141,114.200033
1.88,35,114.281095
-1.18,102,114.522763
1.53,139,115.320325
1.67,134,115.672523
1.88,23,115.730732
1.88,146,116.106674
-1.12,142,116.477859
1.88,48,117.094922
-1.31,132,117.409451
1.88,18,117.455949
1.88,39,117.57209
1.88,32,117.660616
1.88,38,117.761539
1.58,161,118.287412
-1.76,134,119.162039
1.49,147,119.610357
1.88,93,119.876329
1.88,47,120.006761
1.88,31,120.086153
1.88,35,120.222244
1.71,142,121.110307
1.88,54,121.289773
-2.13,125,121.625817
-1.88,122,121.941445
1.88,47,122.060872
1.05,136,122.910818
1.88,54,123.048543
1.88,35,123.145567
1.88,30,123.219024
1.88,34,123.296938
1.88,78,123.479688
1.88,47,123.590689
1.88,47,123.714795
1.88,47,123.844125
1.88,35,123.947555
-1.35,92,124.833957
-3.26,92,125.087418
1.88,44,125.214479
1.88,27,125.288909
1.88,31,125.371998
1.88,29,125.450138
1.58,158,125.869953
1.88,49,125.988273
1.39,141,126.775183
1.88,35,126.863633
1.88,72,127.071346
1.88,58,127.224313
1.88,43,127.33897
1.88,35,127.42603
1.88,67,127.595792
1.88,80,127.802496
1.88,26,127.871408
1.58,158,128.769017
1.88,31,128.863733
1.88,40,128.955775
1.88,27,129.018716
1.88,31,129.091988
-1.38,153,129.491968
-1.34,102,129.751304
1.88,22,130.365259
-2.32,121,130.794307
-1.05,143,131.288875
-1.95,141,131.663608
1.7,132,132.452324
1.88,30,132.531674
-1.5,128,132.855193
1.88,72,133.062497
1.88,35,133.153692
1.88,21,133.21639
1.88,88,133.471393
1.88,23,133.535251
1.88,32,133.623693
1.88,40,133.731545
1.88,43,134.349024
1.88,52,134.487403
1.6,125,134.800098
1.88,83,134.989548
1.57,156,135.350601
1.88,29,135.417494
-1.71,134,136.224985
-1.31,142,136.650237
-1.83,130,137.109007
1.88,36,137.240032
1.88,44,137.388422
1.88,30,137.490119
1.31,126,138.266187
1.88,19,138.312153
-2.63,67,138.46365
-1.71,85,138.65889
1.38,129,139.01648
1.69,158,139.978159
1.88,63,140.138593
-1.83,103,140.407148
-2.71,135,140.738938
-1.84,91,140.978089
-3.49,59,141.122466
1.04,156,142.01177
1.06,148,142.413085
-1.64,131,142.759308
1.88,32,142.869794
1.88,29,142.977453
1.88,79,143.842281
1.01,155,144.224783
-1.53,161,144.619226
1.43,142,145.003003
1.88,23,145.559541
1.58,160,145.97162
1.88,31,146.052528
1.88,34,146.137018
1.88,19,146.183227
-2.71,127,146.491536
-2.02,18,146.534908
1.88,58,146.6713
1.88,58,147.278361
1.88,35,147.36262
-2.19,117,147.705797
1.88,23,147.770811
-2.71,138,148.142585
1.88,31,148.220371
-2.03,125,148.551232
1.78,153,149.522332
1.88,39,149.64745
1.88,143,150.067977
