#{"t_start": 1781910059.008159, "env_id": "None"}
r,l,t
-1.96,13,56.207475
-1.98,6,56.224332
1.88,23,56.283743
-2.11,7,56.306318
-6.54,50,56.472817
-5.79,83,56.761675
-1.96,13,56.804594
-1.93,7,56.826592
-6.79,46,56.958751
1.41,21,57.492702
-2.31,11,57.525304
-6.69,56,57.672976
-6.73,48,57.803096
-1.93,5,57.820004
-1.97,8,57.842928
-1.98,9,57.868101
-5.74,84,58.08928
-6.46,54,58.230667
-6.37,46,58.338306
-5.4,84,58.553264
-6.81,47,58.673406
-5.75,85,59.32976
-1.97,9,59.359068
-5.49,116,59.656943
-2.03,6,59.676177
-6.46,55,59.819803
-1.98,9,59.844221
-1.97,8,59.869195
-6.28,50,60.011247
-1.93,5,60.028663
-1.93,11,60.06045
-6.32,49,60.204254
-6.41,49,60.375994
-6.35,61,60.562918
-6.77,48,60.732945
-1.97,6,61.269924
-6.65,47,61.392806
-6.57,54,61.5319
-6.29,69,61.702793
-1.98,13,61.735824
-6.1,53,61.877137
-6.69,49,61.998344
-6.71,48,62.124536
-5.83,82,62.332633
-2.03,9,62.361167
-6.74,44,62.480065
-6.01,77,63.158276
-1.98,9,63.187022
-6.77,48,63.354011
-6.09,59,63.518198
-6.21,55,63.657602
-6.71,52,63.804794
-1.98,10,63.836554
-2.05,9,63.862023
-5.87,64,64.013263
-5.84,57,64.178928
-5.89,57,64.318902
-6.73,49,64.461735
1.88,13,64.914671
-2.25,14,64.957484
-5.89,56,65.111038
-5.95,50,65.241818
-6.13,66,65.431962
-1.98,11,65.463294
-5.79,89,65.688537
-6.65,50,65.826846
-1.98,8,65.849754
-4.29,98,66.116134
-6.35,53,66.25571
-1.93,7,66.276368
-2.0,9,66.883606
-2.19,11,66.919477
-1.96,13,66.961652
-5.58,59,67.159633
-2.17,16,67.212411
-1.93,11,67.244889
-6.61,48,67.400658
-2.05,10,67.440922
-2.19,7,67.462393
-6.87,47,67.584749
-2.53,20,67.639605
-1.92,5,67.658454
-6.69,52,67.788259
-1.98,17,67.834486
-6.65,49,67.969983
-2.05,13,68.010128
-6.0,59,68.175996
-1.92,10,68.20364
-2.11,12,68.245006
-2.11,7,68.26706
-2.39,20,68.320174
-1.97,10,68.347337
-6.49,50,68.964764
-6.07,44,69.079713
-6.81,40,69.192342
-6.79,46,69.333019
-2.14,12,69.366725
-2.31,13,69.404203
-5.84,96,69.652191
-1.98,9,69.677698
-1.88,8,69.698247
-6.71,45,69.818861
-6.58,50,69.944965
-6.73,50,70.071331
-6.13,52,70.210164
-6.53,49,70.762361
-6.25,62,70.92145
-6.6,48,71.059473
-2.11,10,71.091591
-2.03,12,71.125156
-1.97,6,71.141882
-6.41,54,71.284132
-2.11,8,71.307974
-2.03,13,71.344489
-5.7,86,71.560033
-1.98,13,71.595494
-2.11,12,71.633039
-3.76,95,71.878415
-6.62,50,72.011209
-1.93,6,72.470482
-5.96,52,72.600045
-1.88,8,72.625283
-6.29,58,72.777044
-6.6,52,72.92189
-1.97,10,72.951749
-1.97,15,72.993612
-6.04,62,73.173058
-1.93,7,73.195285
-5.69,88,73.465459
-2.25,19,73.53024
-6.35,49,73.702895
-6.81,49,73.836593
-6.44,52,74.473354
-5.78,61,74.636822
-5.77,73,74.836609
-1.93,6,74.853755
-6.43,45,74.992571
-2.0,10,75.022661
-5.72,75,75.22394
-5.87,91,75.444613
-6.29,53,75.573019
-1.92,7,75.595539
-6.6,51,75.725343
-6.49,50,76.298697
-5.35,119,76.640656
-6.74,50,76.804688
-6.6,51,76.946798
-6.53,52,77.085481
-6.53,47,77.212111
-6.55,53,77.354355
-2.05,9,77.381495
-1.93,11,77.411792
-1.98,14,77.453059
-6.37,57,77.604107
-5.61,62,78.212229
-6.07,59,78.348181
-6.34,45,78.466681
-2.2,18,78.538688
-6.53,52,78.688448
-5.19,76,78.897882
-6.55,49,79.040311
-1.93,6,79.064325
-1.93,11,79.103006
-6.81,45,79.239185
1.41,25,79.327934
-2.05,14,79.384907
-1.92,7,79.413002
-1.97,10,79.451394
-1.92,5,79.471469
-5.82,81,80.262511
-6.44,53,80.416939
-5.91,86,80.650202
-6.64,48,80.803754
1.41,19,80.855164
-6.76,49,80.986597
-2.03,9,81.014101
-6.65,49,81.149234
-6.5,51,81.28616
-6.06,58,81.423132
-2.0,8,81.445747
-2.05,9,81.474882
-6.79,47,81.627426
-6.46,73,82.327147
-5.88,65,82.516926
-6.69,46,82.67102
-6.73,48,82.818994
-1.97,13,82.855361
-6.49,47,82.99699
