time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/loss
66,34.83,33792,-3.9156,248,136,0.16167623759247363,-0.2571883022785187,0.007072657,650,-0.015616983827203511,0.0003,0.5491092801094055,0.0501953125,0.2,-0.01270077470690012
67,33.75,34304,-3.7533000000000003,248,137,0.2321593360276893,-0.3835069812834263,0.012613719,660,-0.011280974210239946,0.0003,0.29058563709259033,0.05703125,0.2,-0.01478771585971117
68,34.97,34816,-3.8179000000000003,249,139,0.1560167442308739,-0.33224651478230954,0.008502542,670,-0.021873505268013106,0.0003,0.09275317192077637,0.0716796875,0.2,-0.01431206613779068
69,35.12,35328,-3.7488,249,141,0.08701535821892321,-0.377905216999352,0.012003532,680,-0.01858294700505212,0.0003,0.61864173412323,0.067578125,0.2,-0.027671122923493385
70,33.41,35840,-3.533,249,143,0.3238200641702861,-0.3847181677818298,0.011284017,690,-0.019200621091295035,0.0003,0.2954437732696533,0.0607421875,0.2,-0.02835681103169918
71,33.14,36352,-3.5342000000000007,249,145,0.26674389509717,-0.2742083413526416,0.005366595,700,-0.01940727751934901,0.0003,0.17490285634994507,0.0443359375,0.2,-0.013246145099401474
72,34.92,36864,-3.6886000000000005,250,147,0.272472547669895,-0.2672177473083138,0.007065138,710,-0.01519680058117956,0.0003,-0.3156658411026001,0.04921875,0.2,-0.02076740376651287
73,35.68,37376,-3.6697,250,149,0.14014965400565416,-0.33961142264306543,0.00900314,720,-0.019922074303030966,0.0003,0.37838035821914673,0.0759765625,0.2,-0.028477072715759277
74,36.03,37888,-3.8418000000000005,250,151,0.29881852618418636,-0.46702691055834294,0.0363559,730,-0.02529141108971089,0.0003,-0.33791494369506836,0.105078125,0.2,0.0019532255828380585
75,36.25,38400,-3.8501000000000003,250,153,0.11852947042789311,-0.3068126879632473,0.020424528,740,-0.013538386672735214,0.0003,0.6380016207695007,0.0568359375,0.2,-0.015659332275390625
76,36.55,38912,-4.0078000000000005,250,155,0.1985630524577573,-0.3535563465207815,0.009251723,750,-0.015588003350421787,0.0003,0.4898838996887207,0.0677734375,0.2,0.002496328204870224
77,37.86,39424,-4.0315,250,157,0.18689759711269288,-0.33687875512987375,0.012629621,760,-0.019956311280839144,0.0003,0.33652573823928833,0.0626953125,0.2,-0.019016601145267487
78,40.03,39936,-4.1085,251,159,0.1547254251781851,-0.4977116629481316,0.014104253,770,-0.026770807208959014,0.0003,0.3560730814933777,0.1009765625,0.2,-0.04558131843805313
79,40.88,40448,-4.2406,250,161,0.07395966245676391,-0.6386100672185421,0.018144814,780,-0.024953808845020832,0.0003,0.19525986909866333,0.1271484375,0.2,-0.03622343763709068
80,38.66,40960,-4.1187000000000005,251,163,0.2513637275900692,-0.3975193565711379,0.0105682975,790,-0.017072257155086847,0.0003,-0.38266873359680176,0.0619140625,0.2,-0.027072923257946968
81,38.74,41472,-4.1895,251,164,0.1998483813018538,-0.3113699171692133,0.009049704,800,-0.022113953379448503,0.0003,0.41986966133117676,0.06328125,0.2,-0.031435415148735046
82,38.59,41984,-4.0202,251,166,0.18521891894051806,-0.23153636706992983,0.02074615,810,-0.014758369437186048,0.0003,0.07507163286209106,0.0546875,0.2,-0.015607113018631935
83,36.79,42496,-3.7903000000000007,251,168,0.30299617506098003,-0.2809556875377893,0.006511477,820,-0.016016457026125863,0.0003,0.05603593587875366,0.05,0.2,-0.03147101774811745
84,37.77,43008,-3.9457,252,170,0.2826575364684686,-0.3210897147655487,0.005640857,830,-0.012795618316158653,0.0003,0.13511204719543457,0.0474609375,0.2,-0.006936162710189819
85,38.38,43520,-3.9013000000000004,252,172,0.06993630140786991,-0.4080408303067088,0.012516705,840,-0.013803198549430818,0.0003,0.7208280563354492,0.0595703125,0.2,-0.019104881212115288
86,38.05,44032,-3.9303,252,174,0.4370955360122025,-0.3514088083058596,0.011752062,850,-0.016113372810650617,0.0003,-1.0861408710479736,0.0529296875,0.2,0.008129008114337921
87,38.52,44544,-3.9632,252,176,0.11371366642415523,-0.31560668535530567,0.01660059,860,-0.023393188638146968,0.0003,0.5432552099227905,0.09609375,0.2,-0.016950268298387527
88,40.7,45056,-3.9934000000000003,253,177,0.35045636794529855,-0.23217359632253648,0.009105581,870,-0.014915479486808181,0.0003,-0.22141635417938232,0.046484375,0.2,-0.0036208834499120712
89,40.07,45568,-3.9554,253,179,0.16504660854116082,-0.4445840783417225,0.017070536,880,-0.020297189755365253,0.0003,0.21868377923965454,0.080859375,0.2,-0.010971451178193092
90,39.54,46080,-3.9632,253,181,0.15937905838945882,-0.4660673703998327,0.021904683,890,-0.025886828009970487,0.0003,0.41434305906295776,0.0927734375,0.2,-0.022812863811850548
91,41.1,46592,-4.0788,253,183,0.17027777344919742,-0.2725222818553448,0.010560745,900,-0.015887739218305795,0.0003,0.32307928800582886,0.0462890625,0.2,-0.020037628710269928
92,39.31,47104,-4.1067,253,185,0.22349690780974923,-0.39516553841531277,0.01139673,910,-0.02113780346699059,0.0003,0.37953948974609375,0.09609375,0.2,-0.028381705284118652
93,37.94,47616,-3.9193000000000002,253,187,0.2718179441988468,-0.23195528294891118,0.0077080415,920,-0.015249102876987308,0.0003,0.16728335618972778,0.0427734375,0.2,-0.010423367843031883
94,37.61,48128,-3.7962000000000007,254,189,0.14374306797981262,-0.3226733893156052,0.021098455,930,-0.015544678317382932,0.0003,0.1745086908340454,0.0693359375,0.2,-0.0067979563027620316
95,38.51,48640,-3.8467999999999996,254,191,0.3424227236770093,-0.31497791334986686,0.021429662,940,-0.014404143474530428,0.0003,-0.5906518697738647,0.0576171875,0.2,-0.013003131374716759
96,37.66,49152,-3.9064000000000005,254,193,0.16194888211321085,-0.3106203205883503,0.011250597,950,-0.018826950003858655,0.0003,0.4507462978363037,0.062109375,0.2,-0.029007747769355774
97,38.76,49664,-3.9989000000000003,254,195,0.19698948424775153,-0.26692007686942815,0.024540687,960,-0.015261253505013884,0.0003,0.43345069885253906,0.065234375,0.2,-0.017738323658704758
98,39.01,50176,-3.874799999999999,254,196,0.2131594955455512,-0.23261959804221988,0.014199284,970,-0.01510186500963755,0.0003,0.3175721764564514,0.059765625,0.2,-0.007559765130281448
99,38.64,50688,-3.9265999999999996,254,198,0.14095239227171988,-0.4172482343390584,0.013796715,980,-0.023981916019693017,0.0003,0.6438952684402466,0.0892578125,0.2,-0.027737293392419815
100,38.47,51200,-3.7936,255,200,0.2604363491991535,-0.35546598136425017,0.013066737,990,-0.02453025192953646,0.0003,0.02271246910095215,0.0884765625,0.2,-0.017421357333660126
101,34.85,51712,-3.7866000000000004,255,202,0.29676079023629426,-0.357927948795259,0.011942519,1000,-0.02326876255683601,0.0003,-0.020591259002685547,0.07421875,0.2,-0.010461367666721344
102,33.8,52224,-3.6268000000000007,255,204,0.139003274589777,-0.3270319324918091,0.0152859455,1010,-0.018093388946726918,0.0003,0.5626722574234009,0.0689453125,0.2,-0.0209793858230114
103,33.83,52736,-3.5718,255,206,0.20749628833727912,-0.4662490375339985,0.1962064,1020,-0.028463739063590766,0.0003,0.33143532276153564,0.169140625,0.2,-0.03131038695573807
104,34.2,53248,-3.5543000000000005,255,208,0.18583815465681255,-0.43353159818798304,0.022494014,1030,-0.023753503686748445,0.0003,0.08110350370407104,0.10390625,0.2,-0.030483748763799667
105,34.55,53760,-3.7264999999999997,255,210,0.22014322523027657,-0.4489712230861187,0.029423077,1040,-0.019601518602576105,0.0003,0.3989534378051758,0.0888671875,0.2,-0.013681558892130852
106,35.77,54272,-3.8887000000000005,255,212,0.110056189855095,-0.4156036337837577,0.020960191,1050,-0.02216299744322896,0.0003,0.6294388771057129,0.091015625,0.2,-0.02395223267376423
107,37.72,54784,-4.1229000000000005,255,214,0.06609229615423828,-0.28974767215549946,0.013416139,1060,-0.019808816851582377,0.0003,0.7115445137023926,0.0712890625,0.2,-0.024495108053088188
108,40.16,55296,-4.25,255,216,0.09092795751057565,-0.37452364191412923,0.018793577,1070,-0.024608245631679893,0.0003,0.5891964435577393,0.10390625,0.2,-0.02002239227294922
109,43.27,55808,-4.4519,256,217,0.3659745252225548,-0.4165631029754877,0.008019736,1080,-0.01737948108930141,0.0003,-0.2046210765838623,0.0646484375,0.2,-0.028514288365840912
110,41.51,56320,-4.3832,256,219,0.1426779721630737,-0.34433975275605916,0.011237316,1090,-0.014388046413660049,0.0003,0.2893064618110657,0.0703125,0.2,-0.003307456150650978
111,40.98,56832,-4.3746,256,221,0.22092358220834285,-0.3203137060627341,0.018603792,1100,-0.02346349925501272,0.0003,0.27818357944488525,0.077734375,0.2,-0.02597973123192787
112,40.28,57344,-4.369300000000001,256,223,0.09558356617344543,-0.44802841898053886,0.05196003,1110,-0.022791365254670383,0.0003,0.4817219376564026,0.1046875,0.2,-0.009760756976902485
113,38.41,57856,-4.221,256,225,0.19728087979601697,-0.24468214455991982,0.010614069,1120,-0.013373310514725744,0.0003,0.10660231113433838,0.0478515625,0.2,-0.008184442296624184
114,38.83,58368,-4.0239,256,227,0.29011874736752363,-0.22104201475158333,0.010761721,1130,-0.018651547213084995,0.0003,-0.32789337635040283,0.0515625,0.2,-0.01286168210208416
115,38.63,58880,-3.9871999999999996,256,229,0.36069788297172634,-0.30560342613607644,0.013024858,1140,-0.02023097376804799,0.0003,-0.11391627788543701,0.0677734375,0.2,0.003018531948328018
116,38.52,59392,-4.017600000000001,256,231,0.19870559468399734,-0.3993412898853421,0.014802901,1150,-0.015143244119826704,0.0003,0.3574519753456116,0.08671875,0.2,-0.005734424572438002
117,37.93,59904,-4.077400000000001,256,233,0.1878276039031334,-0.29964966755360367,0.011616575,1160,-0.016543598647695036,0.0003,0.14173519611358643,0.0654296875,0.2,-0.008687278255820274
118,40.33,60416,-4.3179,256,235,0.26322680404409765,-0.25093681886792185,0.008626441,1170,-0.020002090209163725,0.0003,0.06965351104736328,0.0576171875,0.2,-0.004456153139472008
119,40.96,60928,-4.3739,256,237,0.12256117779761552,-0.23407661626115442,0.033784166,1180,-0.014244232152123004,0.0003,0.5768744945526123,0.0541015625,0.2,-0.0002928292378783226
120,42.37,61440,-4.3072,257,238,0.07323215572396294,-0.37103599589318037,0.02105712,1190,-0.021679005573969335,0.0003,0.7365169525146484,0.096875,0.2,-0.037425294518470764
121,42.93,61952,-4.446,257,240,0.09832572566810996,-0.45255008824169635,0.022909202,1200,-0.033351687458343805,0.0003,0.6533914804458618,0.12578125,0.2,-0.023073045536875725
122,44.97,62464,-4.5089,257,242,0.15239376383833586,-0.3610668370500207,0.01706934,1210,-0.027855817321687938,0.0003,0.29433929920196533,0.09140625,0.2,-0.023506464436650276
123,44.74,62976,-4.695399999999999,257,244,0.09203136465512216,-0.4573784403502941,0.023450974,1220,-0.030003504815977067,0.0003,0.6932815313339233,0.1404296875,0.2,-0.013910461217164993
124,46.67,63488,-4.7381,257,246,0.07564113099360839,-0.45025470331311224,0.018616045,1230,-0.022312737198080867,0.0003,0.6030868291854858,0.1017578125,0.2,-0.03126060962677002
125,46.36,64000,-4.7846,257,248,0.1066250788164325,-0.514618432149291,0.019743092,1240,-0.02228426418732852,0.0003,0.45144277811050415,0.107421875,0.2,-0.04722808673977852
126,48.49,64512,-4.8386,257,250,0.07409039777703583,-0.40979901514947414,0.012178633,1250,-0.02271112003363669,0.0003,0.6448255777359009,0.096484375,0.2,-0.025114770978689194
127,47.43,65024,-4.6401,257,252,0.2079207253875211,-0.44363643489778043,0.0275761,1260,-0.01968994315247983,0.0003,0.5427509546279907,0.0927734375,0.2,-0.011464865878224373
128,45.7,65536,-4.4242,258,253,0.15264670071192085,-0.5275137554854155,0.026845833,1270,-0.027627376618329435,0.0003,0.10381954908370972,0.1263671875,0.2,-0.03604413568973541
129,45.38,66048,-4.49,258,255,0.388770138588734,-0.2470216610468924,0.0124422675,1280,-0.015977919555734844,0.0003,-0.3998100757598877,0.0486328125,0.2,-0.028800858184695244
130,44.69,66560,-4.373500000000001,258,257,0.12505722492933274,-0.3394832663238049,0.015912514,1290,-0.0224432741291821,0.0003,0.6523540019989014,0.0826171875,0.2,-0.010979062877595425
131,42.48,67072,-4.1312,258,259,0.13636765404371545,-0.34433671049773695,0.011494459,1300,-0.01793367633363232,0.0003,0.5713402032852173,0.0787109375,0.2,-0.013391392305493355
132,39.57,67584,-4.0399,258,261,0.11803649415960535,-0.42909747213125227,0.013719081,1310,-0.02403807019582018,0.0003,0.6200972199440002,0.1111328125,0.2,-0.02329329214990139
133,38.6,68096,-3.9304,258,263,0.12686836970970033,-0.2820096004754305,0.007833721,1320,-0.012147563649341464,0.0003,0.13881456851959229,0.05625,0.2,-0.002138691022992134
134,37.91,68608,-3.7583,257,265,0.13959975295001642,-0.42248621601611375,0.015503286,1330,-0.018867899116594346,0.0003,0.4215087294578552,0.0734375,0.2,-0.017614763230085373
135,37.92,69120,-3.8972000000000007,257,267,0.37757828370667995,-0.3389952277764678,0.013914269,1340,-0.021700222115032374,0.0003,-0.28273212909698486,0.088671875,0.2,-0.0012265294790267944
136,39.38,69632,-3.9100999999999995,258,269,0.14066278722602873,-0.32152081932872534,0.013207493,1350,-0.015124405571259558,0.0003,0.6362756490707397,0.0787109375,0.2,-0.03369865566492081
137,39.27,70144,-3.7865999999999995,258,271,0.1336263606674038,-0.27841858863830565,0.01079841,1360,-0.014535211096517741,0.0003,0.44492948055267334,0.0728515625,0.2,-0.016420504078269005
138,40.48,70656,-4.0202,258,273,0.3161244274349883,-0.3748178992420435,0.009567888,1370,-0.021435518702492117,0.0003,0.10924887657165527,0.0787109375,0.2,-0.005798671394586563
139,40.4,71168,-4.1614,258,275,0.1789945149794221,-0.21119861202314497,0.017572884,1380,-0.01703925437759608,0.0003,0.36064600944519043,0.0548828125,0.2,-0.028829660266637802
140,40.88,71680,-4.1446,258,277,0.07661941277328879,-0.21412150133401156,0.009625968,1390,-0.015186963102314622,0.0003,0.7486578226089478,0.0619140625,0.2,-0.010146092623472214
141,41.52,72192,-4.1051,258,278,0.09511466799303889,-0.34507327899336815,0.016000375,1400,-0.02147218402242288,0.0003,0.7828589081764221,0.08046875,0.2,-0.03204328194260597
142,42.94,72704,-4.1305000000000005,258,280,0.23131630977150053,-0.31188430916517973,0.026032573,1410,-0.01885739342542365,0.0003,0.4509882926940918,0.0884765625,0.2,-0.026157431304454803
143,40.55,73216,-3.943499999999999,258,282,0.2784199901856482,-0.32079998664557935,0.01116305,1420,-0.015473574213683606,0.0003,-0.0885699987411499,0.0640625,0.2,-0.005606107413768768
144,40.01,73728,-4.043699999999999,259,284,0.21748195253312588,-0.3134485241025686,0.013666683,1430,-0.026065359939821064,0.0003,0.4753967523574829,0.0787109375,0.2,-0.05193708464503288
145,36.68,74240,-3.8888,258,286,0.12437945151468739,-0.26574289966374637,0.012611187,1440,-0.01614264054223895,0.0003,0.4129936695098877,0.06171875,0.2,-0.004469585604965687
